Boundarynumber	Year	Dayofyear	Hour	Minute	Second	Orbitnumber	XMSO(km)	YMSO(km)	ZMSO(km)
1.0	2011.0	82.0	23.0	47.0	2.7	12.0	6275.334	8142.117	-4504.138
2.0	2011.0	82.0	23.0	59.0	44.4	12.0	5928.638	7831.493	-3564.992
3.0	2011.0	83.0	1.0	10.0	0.1	12.0	2258.153	3712.435	2075.611
4.0	2011.0	83.0	1.0	14.0	3.2	12.0	1888.531	3238.635	2347.968
5.0	2011.0	83.0	2.0	14.0	46.1	12.0	-2025.455	-3617.479	-3305.72
6.0	2011.0	83.0	2.0	15.0	33.6	12.0	-2014.216	-3626.92	-3423.196
7.0	2011.0	83.0	4.0	35.0	8.8	12.0	2170.913	-23.723	-14078.606
8.0	2011.0	83.0	7.0	32.0	21.2	12.0	6466.991	5495.111	-15521.075
1.0	2011.0	83.0	12.0	18.0	47.0	13.0	5802.993	7080.117	-2426.101
2.0	2011.0	83.0	12.0	46.0	32.0	13.0	4490.593	5812.724	-156.706
3.0	2011.0	83.0	13.0	20.0	54.0	13.0	1792.386	2837.172	2500.763
4.0	2011.0	83.0	13.0	24.0	32.0	13.0	1396.049	2361.492	2689.165
5.0	2011.0	83.0	14.0	13.0	48.0	13.0	-2257.7	-3413.097	-2487.837
6.0	2011.0	83.0	14.0	19.0	14.0	13.0	-2206.475	-3514.374	-3314.928
7.0	2011.0	83.0	14.0	45.0	20.0	13.0	-1610.79	-3417.736	-6629.079
8.0	2011.0	83.0	14.0	49.0	18.0	13.0	-1493.453	-3352.64	-7052.862
1.0	2011.0	84.0	1.0	0.0	5.3	14.0	4171.294	5019.729	612.094
2.0	2011.0	84.0	1.0	0.0	36.6	14.0	4133.547	4983.582	656.337
3.0	2011.0	84.0	1.0	19.0	52.9	14.0	2501.63	3349.154	2161.097
4.0	2011.0	84.0	1.0	21.0	4.6	14.0	2379.463	3221.221	2242.46
5.0	2011.0	84.0	2.0	18.0	21.9	14.0	-2425.913	-3303.443	-2512.112
6.0	2011.0	84.0	2.0	21.0	28.4	14.0	-2404.375	-3368.892	-2989.443
7.0	2011.0	84.0	3.0	30.0	24.8	14.0	-424.443	-2450.004	-10255.868
8.0	2011.0	84.0	3.0	31.0	51.0	14.0	-373.864	-2411.21	-10359.103
1.0	2011.0	84.0	13.0	4.0	25.0	15.0	4413.404	4813.146	611.932
2.0	2011.0	84.0	13.0	6.0	15.5	15.0	4276.368	4693.774	763.798
3.0	2011.0	84.0	13.0	27.0	42.3	15.0	2285.976	2863.34	2390.094
4.0	2011.0	84.0	13.0	30.0	40.4	15.0	1941.378	2528.075	2563.472
5.0	2011.0	84.0	14.0	30.0	9.2	15.0	-2520.697	-3311.288	-3617.587
6.0	2011.0	84.0	14.0	31.0	14.9	15.0	-2504.469	-3322.253	-3774.626
7.0	2011.0	84.0	15.0	3.0	59.6	15.0	-1636.541	-3100.097	-7646.423
8.0	2011.0	84.0	15.0	15.0	20.1	15.0	-1250.321	-2882.432	-8698.871
1.0	2011.0	85.0	1.0	19.0	14.8	16.0	3760.371	3888.008	1466.706
2.0	2011.0	85.0	1.0	19.0	27.0	16.0	3741.897	3872.791	1482.492
3.0	2011.0	85.0	1.0	34.0	58.3	16.0	2070.631	2440.155	2562.249
4.0	2011.0	85.0	1.0	35.0	34.7	16.0	1993.257	2371.086	2595.353
5.0	2011.0	85.0	2.0	34.0	33.5	16.0	-2681.11	-3188.195	-3613.085
6.0	2011.0	85.0	2.0	47.0	0.6	16.0	-2433.778	-3234.006	-5278.972
7.0	2011.0	85.0	3.0	14.0	12.7	16.0	-1590.566	-2923.12	-8198.224
8.0	2011.0	85.0	3.0	17.0	46.6	16.0	-1464.692	-2858.107	-8522.929
1.0	2011.0	85.0	13.0	20.0	7.9	17.0	4263.845	3946.067	1190.435
2.0	2011.0	85.0	13.0	24.0	41.2	17.0	3838.2	3629.616	1553.006
3.0	2011.0	85.0	13.0	36.0	28.5	17.0	2547.734	2631.196	2396.942
4.0	2011.0	85.0	13.0	38.0	36.1	17.0	2280.501	2417.031	2523.806
5.0	2011.0	85.0	14.0	38.0	0.2	17.0	-2845.011	-3047.254	-3470.251
6.0	2011.0	85.0	14.0	40.0	16.5	17.0	-2815.508	-3074.22	-3795.322
7.0	2011.0	85.0	15.0	7.0	59.5	17.0	-2101.317	-2996.167	-7152.255
8.0	2011.0	85.0	15.0	9.0	59.1	17.0	-2034.712	-2971.439	-7357.088
1.0	2011.0	86.0	1.0	30.0	36.1	18.0	3846.093	3339.778	1675.715
2.0	2011.0	86.0	1.0	30.0	40.3	18.0	3839.167	3335.026	1680.846
3.0	2011.0	86.0	1.0	42.0	57.5	18.0	2395.507	2311.29	2525.216
4.0	2011.0	86.0	1.0	43.0	12.5	18.0	2362.32	2286.967	2539.321
5.0	2011.0	86.0	2.0	46.0	8.7	18.0	-2938.599	-2956.204	-3997.022
6.0	2011.0	86.0	2.0	46.0	10.2	18.0	-2938.337	-2956.356	-3999.34
7.0	2011.0	86.0	4.0	30.0	59.6	18.0	808.395	-1376.798	-12808.224
8.0	2011.0	86.0	4.0	31.0	14.7	18.0	818.398	-1370.868	-12820.261
1.0	2011.0	86.0	13.0	30.0	43.9	19.0	4431.959	3428.58	1345.39
2.0	2011.0	86.0	13.0	32.0	7.8	19.0	4292.016	3343.171	1456.755
3.0	2011.0	86.0	13.0	48.0	30.7	19.0	2336.172	2090.082	2593.661
4.0	2011.0	86.0	13.0	48.0	41.5	19.0	2312.815	2074.439	2602.504
5.0	2011.0	86.0	14.0	48.0	27.3	19.0	-3105.326	-2796.462	-3694.184
6.0	2011.0	86.0	14.0	53.0	21.7	19.0	-3028.827	-2843.197	-4375.256
7.0	2011.0	86.0	15.0	32.0	41.4	19.0	-1809.335	-2606.862	-8660.047
8.0	2011.0	86.0	15.0	32.0	42.9	19.0	-1808.067	-2606.391	-8662.981
1.0	2011.0	87.0	1.0	35.0	7.1	20.0	4582.458	3225.724	1349.068
2.0	2011.0	87.0	1.0	35.0	11.3	20.0	4575.704	3222.019	1354.397
3.0	2011.0	87.0	1.0	54.0	12.0	20.0	2239.837	1867.599	2663.522
4.0	2011.0	87.0	1.0	58.0	46.7	20.0	1532.766	1427.994	2847.102
5.0	2011.0	87.0	2.0	48.0	22.3	20.0	-3269.607	-2583.382	-3029.728
6.0	2011.0	87.0	2.0	51.0	0.3	20.0	-3252.456	-2628.565	-3419.622
7.0	2011.0	87.0	3.0	33.0	3.6	20.0	-2087.269	-2571.876	-8293.477
8.0	2011.0	87.0	3.0	33.0	4.9	20.0	-2086.641	-2571.687	-8295.004
1.0	2011.0	87.0	13.0	45.0	5.1	21.0	4111.335	2714.686	1788.274
2.0	2011.0	87.0	13.0	46.0	9.8	21.0	3985.023	2650.375	1869.683
3.0	2011.0	87.0	14.0	0.0	5.5	21.0	2091.685	1638.959	2736.35
4.0	2011.0	87.0	14.0	0.0	10.8	21.0	2076.076	1630.241	2740.689
5.0	2011.0	87.0	14.0	59.0	13.1	21.0	-3329.139	-2534.161	-3955.412
6.0	2011.0	87.0	15.0	2.0	2.2	21.0	-3285.095	-2562.207	-4341.597
7.0	2011.0	87.0	15.0	30.0	30.0	21.0	-2467.256	-2538.345	-7624.93
8.0	2011.0	87.0	15.0	49.0	49.0	21.0	-1721.318	-2340.586	-9353.821
1.0	2011.0	88.0	1.0	47.0	30.6	22.0	4452.111	2634.978	1642.482
2.0	2011.0	88.0	1.0	50.0	51.4	22.0	4061.698	2457.964	1895.507
3.0	2011.0	88.0	2.0	0.0	3.2	22.0	2837.533	1880.12	2513.516
4.0	2011.0	88.0	2.0	1.0	1.8	22.0	2692.557	1809.377	2569.09
5.0	2011.0	88.0	3.0	5.0	45.3	22.0	-3411.113	-2410.782	-4240.589
6.0	2011.0	88.0	3.0	6.0	8.7	22.0	-3404.602	-2414.702	-4294.856
7.0	2011.0	88.0	3.0	52.0	41.7	22.0	-1893.353	-2280.495	-9223.924
8.0	2011.0	88.0	3.0	54.0	57.0	22.0	-1801.28	-2256.569	-9407.491
1.0	2011.0	88.0	13.0	48.0	38.9	23.0	4925.031	2585.252	1390.914
2.0	2011.0	88.0	13.0	48.0	41.8	23.0	4919.613	2583.136	1394.897
3.0	2011.0	88.0	14.0	6.0	27.5	23.0	2610.522	1622.89	2627.932
4.0	2011.0	88.0	14.0	9.0	34.9	23.0	2109.2	1398.805	2773.878
5.0	2011.0	88.0	15.0	6.0	16.2	23.0	-3566.831	-2214.731	-3691.733
6.0	2011.0	88.0	15.0	10.0	9.2	23.0	-3517.504	-2262.995	-4232.227
7.0	2011.0	88.0	15.0	58.0	38.8	23.0	-1935.067	-2184.555	-9345.128
8.0	2011.0	88.0	16.0	3.0	21.1	23.0	-1738.893	-2140.562	-9718.665
1.0	2011.0	89.0	1.0	55.0	34.2	24.0	4745.036	2276.969	1594.363
2.0	2011.0	89.0	1.0	55.0	40.8	24.0	4731.542	2272.261	1603.45
3.0	2011.0	89.0	2.0	11.0	10.4	24.0	2625.8	1491.163	2648.406
4.0	2011.0	89.0	2.0	13.0	11.9	24.0	2296.282	1360.502	2744.841
5.0	2011.0	89.0	3.0	14.0	57.5	24.0	-3609.915	-2117.624	-4277.764
6.0	2011.0	89.0	3.0	16.0	22.3	24.0	-3586.801	-2132.489	-4468.074
7.0	2011.0	89.0	3.0	57.0	30.4	24.0	-2263.605	-2139.046	-8875.219
8.0	2011.0	89.0	4.0	2.0	56.3	24.0	-2040.003	-2102.68	-9329.673
1.0	2011.0	89.0	13.0	56.0	11.5	25.0	5261.166	2205.489	1300.092
2.0	2011.0	89.0	13.0	56.0	19.9	25.0	5244.821	2200.676	1312.131
3.0	2011.0	89.0	14.0	14.0	25.9	25.0	2864.694	1442.495	2593.107
4.0	2011.0	89.0	14.0	17.0	50.7	25.0	2307.464	1248.598	2759.821
5.0	2011.0	89.0	15.0	24.0	4.3	25.0	-3616.941	-2014.002	-4891.223
6.0	2011.0	89.0	15.0	26.0	49.2	25.0	-3556.455	-2035.327	-5238.521
7.0	2011.0	89.0	16.0	9.0	38.6	25.0	-2037.51	-2003.855	-9510.55
8.0	2011.0	89.0	16.0	9.0	44.1	25.0	-2033.985	-2003.368	-9517.188
1.0	2011.0	90.0	2.0	3.0	14.6	26.0	5044.514	1912.606	1517.36
2.0	2011.0	90.0	2.0	3.0	40.6	26.0	4994.079	1899.639	1551.386
3.0	2011.0	90.0	2.0	11.0	43.3	26.0	3975.128	1627.113	2150.467
4.0	2011.0	90.0	2.0	13.0	38.9	26.0	3703.831	1551.21	2282.139
5.0	2011.0	90.0	3.0	41.0	50.5	26.0	-3352.202	-1947.798	-6475.432
6.0	2011.0	90.0	3.0	56.0	29.1	26.0	-2839.12	-1964.793	-7976.118
7.0	2011.0	90.0	4.0	47.0	0.9	26.0	-665.243	-1718.75	-11760.46
8.0	2011.0	90.0	5.0	40.0	43.3	26.0	1773.591	-1226.794	-14193.953
1.0	2011.0	90.0	13.0	53.0	37.2	27.0	6556.178	1996.629	376.61
2.0	2011.0	90.0	13.0	56.0	10.9	27.0	6319.972	1952.365	590.201
3.0	2011.0	90.0	14.0	18.0	25.0	27.0	3708.09	1388.205	2311.252
4.0	2011.0	90.0	14.0	20.0	7.7	27.0	3453.25	1326.292	2421.043
5.0	2011.0	90.0	15.0	33.0	46.9	27.0	-3762.848	-1724.362	-4991.944
6.0	2011.0	90.0	15.0	39.0	57.3	27.0	-3616.835	-1775.656	-5748.679
7.0	2011.0	90.0	16.0	39.0	54.5	27.0	-1267.165	-1752.763	-11046.487
8.0	2011.0	90.0	16.0	58.0	16.6	27.0	-428.871	-1648.884	-12144.087
1.0	2011.0	91.0	1.0	38.0	52.1	28.0	8102.887	1922.698	-1210.386
2.0	2011.0	91.0	1.0	43.0	24.4	28.0	7796.044	1888.763	-836.232
3.0	2011.0	91.0	2.0	19.0	48.8	28.0	4186.0	1324.173	2111.325
4.0	2011.0	91.0	2.0	20.0	51.2	28.0	4041.738	1296.336	2183.492
5.0	2011.0	91.0	3.0	50.0	33.3	28.0	-3514.535	-1674.735	-6451.638
6.0	2011.0	91.0	4.0	11.0	11.4	28.0	-2773.87	-1742.755	-8507.077
7.0	2011.0	91.0	6.0	10.0	33.2	28.0	2594.919	-1215.155	-14820.88
8.0	2011.0	91.0	6.0	47.0	26.9	28.0	4184.42	-934.067	-15571.749
1.0	2011.0	91.0	13.0	35.0	1.0	29.0	8674.81	1636.566	-1876.49
2.0	2011.0	91.0	13.0	51.0	52.6	29.0	7564.023	1561.148	-490.907
3.0	2011.0	91.0	14.0	21.0	22.7	29.0	4614.652	1217.314	1911.328
4.0	2011.0	91.0	14.0	21.0	35.5	29.0	4588.371	1213.497	1926.139
5.0	2011.0	91.0	15.0	45.0	16.1	29.0	-3842.748	-1453.51	-5312.639
6.0	2011.0	91.0	15.0	49.0	53.1	29.0	-3729.136	-1497.18	-5867.538
7.0	2011.0	91.0	18.0	9.0	9.5	29.0	2277.652	-1345.638	-14660.283
8.0	2011.0	91.0	19.0	11.0	29.2	29.0	4946.92	-967.392	-15803.302
1.0	2011.0	92.0	0.0	59.0	16.7	30.0	10403.462	1247.437	-4923.034
2.0	2011.0	92.0	0.0	59.0	29.1	30.0	10397.669	1248.037	-4908.805
3.0	2011.0	92.0	2.0	23.0	16.9	30.0	4976.876	1073.467	1728.109
4.0	2011.0	92.0	2.0	24.0	7.4	30.0	4871.648	1062.777	1791.626
5.0	2011.0	92.0	3.0	54.0	23.0	30.0	-3787.832	-1354.538	-5872.272
6.0	2011.0	92.0	4.0	22.0	19.3	30.0	-2823.355	-1533.169	-8702.137
7.0	2011.0	92.0	6.0	28.0	22.5	30.0	2877.782	-1372.939	-15040.737
8.0	2011.0	92.0	6.0	34.0	58.7	30.0	3168.953	-1345.286	-15188.036
1.0	2011.0	92.0	13.0	54.0	59.9	31.0	8069.247	985.901	-950.238
2.0	2011.0	92.0	14.0	1.0	12.8	31.0	7617.213	984.402	-434.142
3.0	2011.0	92.0	14.0	37.0	32.8	31.0	3635.217	782.912	2429.01
4.0	2011.0	92.0	14.0	38.0	48.4	31.0	3439.525	765.638	2505.011
5.0	2011.0	92.0	15.0	49.0	52.0	31.0	-4034.755	-1104.793	-4768.084
6.0	2011.0	92.0	15.0	53.0	15.2	31.0	-3971.661	-1147.966	-5197.676
7.0	2011.0	92.0	18.0	53.0	39.7	31.0	3729.18	-1422.234	-15457.303
8.0	2011.0	92.0	19.0	9.0	16.1	31.0	4390.213	-1373.045	-15683.117
1.0	2011.0	93.0	2.0	11.0	58.0	32.0	7131.946	713.412	102.118
2.0	2011.0	93.0	2.0	12.0	31.1	32.0	7084.547	714.103	148.044
3.0	2011.0	93.0	2.0	31.0	32.5	32.0	5106.788	701.966	1697.296
4.0	2011.0	93.0	2.0	34.0	1.0	32.0	4789.663	693.253	1885.617
5.0	2011.0	93.0	4.0	2.0	7.2	32.0	-3917.843	-1055.459	-5734.003
6.0	2011.0	93.0	4.0	14.0	9.9	32.0	-3568.145	-1182.465	-7072.492
7.0	2011.0	93.0	6.0	19.0	55.3	32.0	1977.326	-1590.737	-14583.758
8.0	2011.0	93.0	6.0	38.0	53.4	32.0	2828.426	-1579.891	-15076.637
1.0	2011.0	93.0	14.0	22.0	3.7	33.0	6636.461	477.442	583.584
2.0	2011.0	93.0	14.0	24.0	20.2	33.0	6416.277	485.814	771.297
3.0	2011.0	93.0	14.0	47.0	56.7	33.0	3423.872	510.986	2535.432
4.0	2011.0	93.0	14.0	48.0	6.0	33.0	3399.757	510.56	2544.139
5.0	2011.0	93.0	16.0	1.0	37.6	33.0	-4064.981	-847.205	-5133.445
6.0	2011.0	93.0	16.0	4.0	24.7	33.0	-4007.969	-884.742	-5476.507
7.0	2011.0	93.0	17.0	29.0	4.7	33.0	-638.993	-1521.066	-12358.753
8.0	2011.0	93.0	17.0	45.0	3.1	33.0	102.189	-1576.131	-13136.127
1.0	2011.0	94.0	2.0	36.0	59.3	34.0	5541.227	312.059	1447.296
2.0	2011.0	94.0	2.0	39.0	47.6	34.0	5204.104	329.476	1667.949
3.0	2011.0	94.0	2.0	51.0	41.7	34.0	3540.021	386.48	2501.979
4.0	2011.0	94.0	2.0	54.0	6.1	34.0	3150.069	393.026	2637.927
5.0	2011.0	94.0	4.0	10.0	2.0	34.0	-4016.204	-757.149	-5617.649
6.0	2011.0	94.0	4.0	12.0	0.1	34.0	-3970.076	-783.84	-5850.59
7.0	2011.0	94.0	5.0	27.0	37.3	34.0	-971.011	-1463.619	-12038.361
8.0	2011.0	94.0	5.0	35.0	23.3	34.0	-613.216	-1507.535	-12454.748
1.0	2011.0	94.0	14.0	51.0	45.2	35.0	4203.904	222.042	2227.511
2.0	2011.0	94.0	14.0	52.0	45.1	35.0	4058.32	231.548	2295.009
3.0	2011.0	94.0	15.0	3.0	11.3	35.0	2337.773	316.45	2854.236
4.0	2011.0	94.0	15.0	3.0	56.3	35.0	2199.057	321.049	2879.933
5.0	2011.0	94.0	16.0	15.0	2.2	35.0	-4032.812	-623.44	-5684.449
6.0	2011.0	94.0	16.0	15.0	15.1	35.0	-4027.903	-626.568	-5710.194
7.0	2011.0	94.0	16.0	58.0	48.5	35.0	-2502.888	-1143.679	-9863.333
8.0	2011.0	94.0	16.0	58.0	53.8	35.0	-2498.662	-1144.656	-9870.952
1.0	2011.0	95.0	2.0	58.0	42.0	36.0	3828.499	113.77	2401.157
2.0	2011.0	95.0	3.0	1.0	41.0	36.0	3360.682	156.345	2580.727
9.0	2011.0	95.0	3.0	2.0	42.0	36.0	3197.0	170.353	2635.859
10.0	2011.0	95.0	20.0	1.0	34.0	37.0	5016.121	-2395.651	-15899.221
1.0	2011.0	96.0	2.0	59.0	36.9	38.0	4910.4	-333.645	1860.013
2.0	2011.0	96.0	3.0	2.0	40.5	38.0	4509.785	-261.541	2083.786
3.0	2011.0	96.0	3.0	13.0	30.7	38.0	2850.668	6.618	2747.224
4.0	2011.0	96.0	3.0	16.0	40.0	38.0	2292.098	85.859	2875.928
5.0	2011.0	96.0	4.0	29.0	10.3	38.0	-4072.433	-220.647	-5781.905
6.0	2011.0	96.0	4.0	30.0	24.0	38.0	-4045.074	-241.156	-5926.198
7.0	2011.0	96.0	4.0	59.0	5.8	38.0	-3138.445	-693.545	-8805.247
8.0	2011.0	96.0	5.0	6.0	54.5	38.0	-2834.935	-807.607	-9454.434
1.0	2011.0	96.0	15.0	5.0	17.8	39.0	4728.207	-459.66	1960.805
2.0	2011.0	96.0	15.0	6.0	20.0	39.0	4592.524	-430.637	2036.257
3.0	2011.0	96.0	15.0	14.0	5.9	39.0	3469.72	-203.337	2549.768
4.0	2011.0	96.0	15.0	14.0	50.8	39.0	3350.882	-180.611	2592.709
5.0	2011.0	96.0	16.0	33.0	46.5	39.0	-4078.747	-88.208	-5801.762
6.0	2011.0	96.0	16.0	34.0	54.8	39.0	-4053.792	-108.173	-5936.084
7.0	2011.0	96.0	17.0	7.0	27.9	39.0	-3016.306	-652.172	-9138.414
8.0	2011.0	96.0	17.0	18.0	20.8	39.0	-2584.268	-822.118	-9997.721
1.0	2011.0	97.0	3.0	7.0	10.8	40.0	5022.722	-692.728	1777.318
2.0	2011.0	97.0	3.0	9.0	57.8	40.0	4672.228	-604.248	1985.43
3.0	2011.0	97.0	3.0	19.0	36.9	40.0	3280.175	-275.58	2617.404
4.0	2011.0	97.0	3.0	22.0	12.5	40.0	2855.001	-182.331	2749.824
5.0	2011.0	97.0	4.0	47.0	39.5	40.0	-3853.904	-125.283	-6857.639
6.0	2011.0	97.0	4.0	48.0	8.0	40.0	-3840.435	-133.991	-6908.824
